rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
489.25,0.3138981249999999,411,561,231108,327.79630145000004,460,0.9907738566398621,14132,0.0003
484.96,0.3082218750000001,413,563,233020,329.19904492,464,1.4258824586868286,14251,0.0003
480.54,0.3027593750000003,416,563,234860,330.09859235000005,468,0.5132169723510742,14366,0.0003
479.77,0.2968693750000002,419,564,236844,326.5735511,472,0.6708427667617798,14490,0.0003
480.56,0.2912762499999999,421,565,238728,325.02728878,476,1.0910775661468506,14608,0.0003
477.01,0.28634812500000006,424,566,240388,325.31056457,480,1.1883723735809326,14712,0.0003
478.32,0.2829518750000003,426,566,241532,326.10877968,484,0.5852307677268982,14783,0.0003
475.02,0.2773468749999999,428,567,243420,325.15466459,488,0.8796772956848145,14901,0.0003
472.62,0.2718368750000002,432,566,245276,327.55588654999997,492,1.0102258920669556,15017,0.0003
468.23,0.26743125,434,567,246760,325.16216744,496,1.1073328256607056,15110,0.0003
464.07,0.26211125,436,569,248552,330.4016980800001,500,0.02786971814930439,15222,0.0003
462.8,0.25575812500000006,439,570,250692,332.18393571,504,0.03077234886586666,15356,0.0003
459.5,0.25097250000000015,441,571,252304,334.90809858999995,508,0.6942954063415527,15456,0.0003
456.02,0.2436100000000001,444,573,254784,333.47377536,512,0.9305961728096008,15611,0.0003
453.17,0.23847999999999991,445,575,256512,336.28310831999994,516,1.5190165042877197,15719,0.0003
452.98,0.23407437500000017,447,576,257996,337.01520156,520,0.8337104320526123,15812,0.0003
453.69,0.22754312500000007,449,578,260196,340.14099887000003,524,0.8394440412521362,15950,0.0003
449.65,0.22203312500000016,451,579,262052,342.17745178000007,528,0.08427990972995758,16066,0.0003
450.73,0.21687937499999999,454,579,263788,342.73269568,532,0.9661286473274231,16174,0.0003
452.49,0.21129812500000011,457,580,265668,343.30069878999996,536,0.025420593097805977,16292,0.0003
452.98,0.20538437499999995,464,576,267660,347.0458412699999,540,0.12085454165935516,16416,0.0003
451.02,0.20062250000000015,466,577,269264,347.49275890000007,544,0.08639729768037796,16516,0.0003
448.7,0.19570625000000008,467,578,270920,352.67878963000004,548,1.2267686128616333,16620,0.0003
447.18,0.19080187500000012,470,579,272572,353.41831922999995,552,0.3968118727207184,16723,0.0003
450.18,0.1848406250000001,472,581,274580,352.57488168000003,556,0.5088946223258972,16849,0.0003
446.33,0.18062500000000004,473,582,276000,349.27776989000006,560,2.2966601848602295,16937,0.0003
449.19,0.17370187500000012,476,583,278332,350.55184334000006,564,0.1289086490869522,17083,0.0003
449.47,0.16934375000000002,478,584,279800,349.95742049,568,0.07576894760131836,17175,0.0003
449.67,0.16384562499999988,480,585,281652,352.81508864999995,572,0.9938037991523743,17291,0.0003
447.71,0.15792000000000017,482,587,283648,354.17777538000007,576,0.39326781034469604,17415,0.0003
448.96,0.15331250000000007,484,588,285200,351.91349032,580,0.5924224257469177,17512,0.0003
451.28,0.148883125,485,590,286692,349.14959259000005,584,0.09805157035589218,17606,0.0003
452.57,0.14152062500000018,488,591,289172,351.53011595000004,588,0.9742248058319092,17761,0.0003
452.79,0.1370437499999999,490,592,290680,349.13352603,592,0.10510213673114777,17855,0.0003
454.72,0.1310112499999999,493,593,292712,352.02085108,596,0.6144959926605225,17982,0.0003
456.07,0.12540625000000016,495,595,294600,352.28705436,600,2.1339471340179443,18100,0.0003
454.33,0.12006249999999996,496,596,296400,354.6152252500001,604,0.5899454951286316,18212,0.0003
447.47,0.11845937500000003,497,597,296940,349.1447678900001,608,0.9216994047164917,18246,0.0003
445.38,0.11374500000000021,499,597,298528,353.70461944000004,612,1.24809992313385,18345,0.0003
440.14,0.10790250000000001,501,599,300496,349.62722538,616,1.2535183429718018,18468,0.0003
440.91,0.10310500000000011,503,599,302112,347.76619598000013,620,0.5533884763717651,18569,0.0003
434.69,0.0978918750000003,505,601,303868,349.4797510200001,624,0.7873645424842834,18679,0.0003
433.21,0.0930587500000003,506,602,305496,345.89488410000007,628,0.8743362426757812,18781,0.0003
428.56,0.0891993750000003,508,603,306796,347.78214614999996,632,0.9100263118743896,18862,0.0003
428.17,0.0845918750000002,510,603,308348,348.4154681600001,636,2.8768510818481445,18959,0.0003
